Query 1; Tempo: 267.448447ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 325.875465ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 210.413783ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 325.837673ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 239.728452ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 244.322846ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 227.768414ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 206.506539ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 311.335101ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 319.738037ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 203.907601ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 218.703033ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 227.812279ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 269.203867ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 195.287835ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 224.60018ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 202.496331ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 233.390534ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 232.344902ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 257.913242ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 275.575295ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 400.850416ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 298.092738ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 249.321042ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 228.036243ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 230.547237ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 223.895575ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 290.055339ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 187.184519ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 222.421578ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 192.77006ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 221.217251ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 286.060595ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 272.05039ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 288.49718ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 240.340194ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 207.53623ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 230.404382ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 257.597102ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 222.227438ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 183.102141ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 206.66117ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 183.089273ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 255.183924ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 209.615548ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 234.263614ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 176.300892ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 294.812444ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 204.688721ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 221.357748ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 244.457142ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 215.695633ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 267.940905ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 231.969834ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 265.608521ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 313.344587ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 201.363696ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 226.057517ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 244.032363ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 266.247716ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 218.113214ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 205.341918ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 291.20345ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 268.268354ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 178.442767ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 268.826295ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 227.371198ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 213.404043ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 292.903153ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 277.948893ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 211.550586ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 294.310409ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 224.665169ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 194.752281ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 225.044955ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 293.412456ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 231.71716ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 210.26814ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 282.723129ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 264.782779ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 235.161304ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 232.39413ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 230.050986ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 257.999302ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 234.593765ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 276.89002ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 251.397178ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 321.779912ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 219.433345ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 185.536965ms; Payload Request: 138; Payload Response: 187
