Query 1; Tempo: 218.310818ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 283.436801ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 282.164478ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 253.552012ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 281.215878ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 210.382285ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 242.292535ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 269.742372ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 217.099867ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 261.714488ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 268.902612ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 292.319248ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 249.498925ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 253.870973ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 300.891124ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 321.17572ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 300.173602ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 465.251496ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 260.329271ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 295.563857ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 298.578762ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 315.316836ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 294.736511ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 270.644102ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 232.884439ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 251.776194ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 216.630629ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 309.652025ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 290.312915ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 305.374462ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 275.377646ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 322.804378ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 327.475896ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 229.69869ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 228.681781ms; Payload Request: 45; Payload Response: 6550
