Query 1; Tempo:170.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:141.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:216.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:186.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:132.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:188.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:223.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:164.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:219.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:151.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:155.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:181.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:158.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:244.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:180.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:182.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:155.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:196.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:141.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:166.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:162.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:210.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:210.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:143.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:162.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:197.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:181.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:171.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:178.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:216.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:164.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:157.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:164.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:144.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:209.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:180.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:207.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:192.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:193.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:236.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:226.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:164.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:191.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:156.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:170.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:776.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:245.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:219.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:214.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:261.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:146.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:163.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:165.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:182.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:205.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:143.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:222.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:181.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:189.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:207.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:180.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:239.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:232.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:167.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:188.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:192.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:180.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:142.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:134.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:193.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:159.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:172.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:255.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:202.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:224.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:217.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:168.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:377.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:168.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:878.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:185.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:176.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:204.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:229.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:288.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:203.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:170.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:282.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:212.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:181.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:180.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:150.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:244.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:365.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:189.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:190.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:163.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:247.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:185.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:137.0; Payload Request:136.0; Payload Response:189.0
Query 2; Tempo:240.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:290.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:270.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:217.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:335.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:232.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:320.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:230.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:375.0; Payload Request:361.0; Payload Response:2482.0
