Query 1; Tempo:173.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:165.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:151.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:159.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:181.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:191.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:143.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:174.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:176.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:168.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:164.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:151.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:167.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:176.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:164.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:179.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:143.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:254.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:264.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:157.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:147.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:158.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:207.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:144.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:146.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:150.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:206.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:176.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:163.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:144.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:150.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:368.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:162.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:154.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:179.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:201.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:198.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:161.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:213.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:161.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:220.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:161.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:179.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:195.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:144.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:143.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:169.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:191.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:270.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:186.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:164.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:178.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:203.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:181.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:142.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:179.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:143.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:161.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:155.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:150.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:150.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:157.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:141.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:181.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:208.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:168.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:155.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:180.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:148.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:164.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:157.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:143.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:153.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:171.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:163.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:161.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:177.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:151.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:178.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:137.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:148.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:184.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:164.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:143.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:142.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:178.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:141.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:166.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:154.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:168.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:232.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:139.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:149.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:165.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:161.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:158.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:165.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:193.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:187.0; Payload Request:45.0; Payload Response:6550.0
Query 1; Tempo:192.0; Payload Request:45.0; Payload Response:6550.0
Query 2; Tempo:332.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:282.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:324.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:375.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:325.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:314.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:308.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:308.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:321.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:323.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:350.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:305.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:295.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:382.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:418.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:327.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:344.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:351.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:301.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:321.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:292.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:330.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:356.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:284.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:282.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:329.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:288.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:350.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:342.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:298.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:311.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:318.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:329.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:324.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:337.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:342.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:311.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:373.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:348.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:309.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:322.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:347.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:364.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:379.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:348.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:332.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:294.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:319.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:283.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:292.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:368.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:353.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:323.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:434.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:339.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:347.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:343.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:314.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:350.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:305.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:386.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:367.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:300.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:320.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:324.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:287.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:383.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:335.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:343.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:319.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:348.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:299.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:295.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:330.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:305.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:323.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:372.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:315.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:329.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:350.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:434.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:329.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:302.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:340.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:274.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:361.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:311.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:357.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:311.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:326.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:336.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:375.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:301.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:334.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:318.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:309.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:445.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:378.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:322.0; Payload Request:115.0; Payload Response:12960.0
Query 2; Tempo:319.0; Payload Request:115.0; Payload Response:12960.0
Query 3; Tempo:999.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:701.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:715.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:666.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:776.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:775.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:716.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:756.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:789.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:784.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:718.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:870.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:674.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:677.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:663.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:750.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:824.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:721.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:831.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:759.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:729.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:669.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:674.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:754.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:766.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:719.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:740.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:775.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:1010.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:767.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:739.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:713.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:744.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:854.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:745.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:770.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:704.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:723.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:754.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:684.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:763.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:675.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:724.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:726.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:740.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:745.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:741.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:724.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:795.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:732.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:692.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:712.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:703.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:718.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:687.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:721.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:738.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:714.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:688.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:701.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:690.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:630.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:755.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:780.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:740.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:704.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:694.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:701.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:680.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:904.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:867.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:683.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:743.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:682.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:748.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:733.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:736.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:730.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:693.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:1017.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:722.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:718.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:717.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:787.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:784.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:724.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:714.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:657.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:722.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:748.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:707.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:730.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:671.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:700.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:754.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:685.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:742.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:733.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:782.0; Payload Request:252.0; Payload Response:46646.0
Query 3; Tempo:779.0; Payload Request:252.0; Payload Response:46646.0
