Query 1; Tempo: 193.17984580993652; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 253.74126434326172; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 229.85529899597168; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 241.96624755859375; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 223.42991828918457; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 294.7225570678711; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 287.06979751586914; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 308.87365341186523; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 263.80467414855957; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 299.3733882904053; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 364.4595146179199; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 256.64544105529785; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 318.23182106018066; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 444.5970058441162; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 216.71795845031738; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 326.8435001373291; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 236.50884628295898; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 270.1416015625; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 222.45025634765625; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 254.7595500946045; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 259.2606544494629; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 213.9604091644287; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 246.43826484680176; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 309.0980052947998; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 249.03416633605957; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 221.4944362640381; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 278.3083915710449; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 259.7379684448242; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 237.1232509613037; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 274.9161720275879; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 247.19953536987305; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 282.3643684387207; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 302.72841453552246; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 186.93161010742188; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 213.02294731140137; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 241.58763885498047; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 225.77190399169922; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 201.21407508850098; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 266.02745056152344; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 217.2844409942627; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 207.82804489135742; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 214.64037895202637; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 221.44412994384766; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 186.9652271270752; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 204.96416091918945; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 262.1912956237793; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 218.62244606018066; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 242.11955070495605; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 209.65909957885742; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 233.3376407623291; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 230.61227798461914; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 208.39524269104004; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 200.39939880371094; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 195.7876682281494; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 294.98744010925293; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 270.7498073577881; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 246.5658187866211; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 229.05421257019043; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 300.3089427947998; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 222.26715087890625; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 266.1926746368408; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 225.3720760345459; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 196.213960647583; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 230.21697998046875; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 204.88476753234863; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 252.35724449157715; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 265.36059379577637; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 223.50168228149414; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 279.28733825683594; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 231.31823539733887; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 250.49400329589844; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 225.90160369873047; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 246.24133110046387; Payload Request: 138; Payload Response: 187
