Query 1; Tempo: 150.33507347106934; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 177.77252197265625; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 154.4332504272461; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 193.10450553894043; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 146.2109088897705; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 198.75574111938477; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 187.40224838256836; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 171.91696166992188; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 220.99900245666504; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 208.7240219116211; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 149.72233772277832; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 187.25204467773438; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 161.5142822265625; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 149.3387222290039; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 195.56283950805664; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 215.7442569732666; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 177.01292037963867; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 240.49925804138184; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 164.86573219299316; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 230.1771640777588; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 213.88816833496094; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 152.65774726867676; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 245.6204891204834; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 153.8870334625244; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 201.97772979736328; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 168.64895820617676; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 188.8439655303955; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 163.82265090942383; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 188.7221336364746; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 170.54104804992676; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 230.64541816711426; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 156.083345413208; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 192.60120391845703; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 194.05031204223633; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 194.44894790649414; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 183.06779861450195; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 209.62834358215332; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 157.96518325805664; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 214.78605270385742; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 179.72874641418457; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 164.66450691223145; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 194.68450546264648; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 146.97670936584473; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 169.3735122680664; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 165.27128219604492; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 182.67416954040527; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 167.8903102874756; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 219.04301643371582; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 215.10720252990723; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 150.41494369506836; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 146.86965942382812; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 173.54154586791992; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 190.1099681854248; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 209.4268798828125; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 161.16714477539062; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 196.9447135925293; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 171.10681533813477; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 204.6976089477539; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 172.2562313079834; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 160.66575050354004; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 197.0386505126953; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 172.6531982421875; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 172.74975776672363; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 179.17847633361816; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 167.6199436187744; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 239.35723304748535; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 145.6313133239746; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 195.81294059753418; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 231.7202091217041; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 201.72905921936035; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 186.08427047729492; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 205.53851127624512; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 243.0400848388672; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 163.10501098632812; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 208.82272720336914; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 193.59254837036133; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 229.74109649658203; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 201.96127891540527; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 176.6982078552246; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 183.6385726928711; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 213.17005157470703; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 198.3644962310791; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 165.72165489196777; Payload Request: 43; Payload Response: 6175
